scenario,sector_id,sector_name_ru,class_id,A_2035,gross_return_2035,net_return_cf_2035,gross_payback_year,net_payback_year_cf,cumulative_delta_k_need_bn_rub,cumulative_gross_margin_gain_bn_rub,cumulative_net_margin_gain_cf_bn_rub,gross_return_on_new_capital_2035,net_return_on_new_capital_cf_2035
Base,M,Профессиональные и научные услуги,software,0.8760270905468406,68.55755629549064,66.30320611764297,2025.0,2025.0,74.52491422091063,5109.246002116692,4941.240748488699,168.8634943679604,162.5623251233808
Base,K,Финансы и страхование,software,0.8760270905468406,44.493557787855295,43.03049426383169,2025.0,2025.0,151.1023474601533,6723.081028598921,6502.00869563563,109.59167815924926,105.50224654785443
Base,J,ИТ и связь,software,0.8760270905468406,20.220312511739987,19.55541621773405,2025.0,2025.0,161.86555663110417,3272.9721399676732,3165.3483312364438,49.80446813518048,47.94600616250449
Base,G,Оптовая и розничная торговля,hybrid,0.330372209277719,16.390029607278073,15.874930916953023,2025.0,2025.0,127.28884384835686,2086.2679193507643,2020.7016025914859,21.598907986593208,20.873674666819145
Base,C,Обрабатывающая промышленность без машиностроения,hybrid,0.330372209277719,8.161041121959036,7.9045594868225475,2025.0,2025.0,328.59529061935035,2681.6796792265986,2597.401021790398,10.754683212391711,10.39356983508199
Base,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.330372209277719,6.347476428190361,6.147990711973092,2025.0,2025.0,112.4075627597619,713.5043549679173,691.0806518025486,8.364753609637997,8.083887649508213
Base,F,Строительство,hardware,0.1132622080047104,3.755539533549294,3.634793957259025,2026.0,2026.0,26.699597741469685,100.27139484795283,97.04753653194072,5.068857459303068,4.89517214842825
Base,H,Транспорт и логистика,hardware,0.1132622080047104,1.399245693657252,1.3542580890419873,2031.0,2032.0,187.6478161316518,262.5653986464016,254.12357288735296,1.8885640553993015,1.823852068979769
Base,B,Добыча полезных ископаемых,hardware,0.1132622080047104,1.3128012749106457,1.270592972993548,2032.0,2032.0,661.0192633417898,867.7869316555975,839.8864310154497,1.7718898910443497,1.7111757658134084
Base,DE,Энергетика и ЖКХ,hybrid,0.330372209277719,1.0474175909979708,1.0144998085244752,2035.0,2035.0,562.9800291082315,589.6751858685113,571.1431317334044,1.380295015541546,1.3339484161204023
Fast,M,Профессиональные и научные услуги,software,0.975177328345722,108.11999168113307,104.4399767524994,2025.0,2025.0,62.21982818457359,6727.207305717626,6498.237409141373,680.8521648147274,654.0884625491735
Fast,K,Финансы и страхование,software,0.975177328345722,70.16940739766925,67.78109361090581,2025.0,2025.0,126.15327633102508,8852.100641422445,8550.807032315679,441.87011289611854,424.5005857759155
Fast,J,ИТ и связь,software,0.975177328345722,31.888826537754486,30.803445787248734,2025.0,2025.0,135.13933196533375,4309.434715470548,4162.757085919168,200.81000973125435,192.91634413080376
Fast,G,Оптовая и розничная торговля,hybrid,0.528215187663118,22.190369929894434,21.489873270040302,2025.0,2025.0,152.6367048724602,3387.0649460000122,3280.1434440657126,31.801696075019066,30.713291313282294
Fast,C,Обрабатывающая промышленность без машиностроения,hybrid,0.528215187663118,11.049188186269957,10.700391864125029,2025.0,2025.0,394.03062264041085,4353.718500707023,4216.282068717572,15.834928650832087,15.292982343796393
Fast,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.528215187663118,8.59381303376552,8.322527005430576,2025.0,2025.0,134.7920168309064,1158.3773910889845,1121.8102001916711,12.316055617313843,11.894541822952748
Fast,F,Строительство,hardware,0.1895591843908691,4.879002013544773,4.723186653479725,2025.0,2025.0,33.51396326672441,163.51469426021396,158.2927040066025,6.5156110152687425,6.293811164299908
Fast,H,Транспорт и логистика,hardware,0.1895591843908691,1.8178273709571582,1.7597734030441832,2029.0,2029.0,235.53995374055648,428.17097486356647,414.49694594688856,2.427598104937078,2.3449595163802504
Fast,B,Добыча полезных ископаемых,hardware,0.1895591843908691,1.7055232694141773,1.6510558349705635,2030.0,2030.0,829.7269316468188,1415.118589183276,1369.925491927702,2.2776227946088747,2.200089560162619
Fast,DE,Энергетика и ЖКХ,hybrid,0.528215187663118,1.4180928510954525,1.373327067167843,2031.0,2032.0,675.089928968598,957.3402021169055,927.1192722249921,2.0323121245464235,1.9627567716346237
Friction,M,Профессиональные и научные услуги,software,0.7033726225962497,56.96690159962601,55.1806279792852,2025.0,2025.0,59.83694446207274,3408.7253271931845,3301.8401717787856,90.1618475821063,87.03484604313829
Friction,K,Финансы и страхование,software,0.7033726225962497,36.97127297527001,35.811989114436344,2025.0,2025.0,121.3218809787653,4485.42437953915,4344.777880954484,58.51464947734887,56.485238990821074
Friction,J,ИТ и связь,software,0.7033726225962497,16.80177380018057,16.274931643218466,2025.0,2025.0,129.9637902802207,2183.6222065023744,2115.1518029041727,26.592265437354452,25.669990027331096
Friction,G,Оптовая и розничная торговля,hybrid,0.1864829658273457,15.592012793952163,15.109174036756569,2025.0,2025.0,71.84987251037631,1120.2841314256193,1085.5922282780473,19.18669508131522,18.55886416593108
Friction,C,Обрабатывающая промышленность без машиностроения,hybrid,0.1864829658273457,7.763686865400796,7.523268327596568,2025.0,2025.0,185.47996057405587,1440.008333703855,1395.4155127906547,9.553576857699575,9.240962784335547
Friction,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.1864829658273457,6.038423117533952,5.851430921463996,2025.0,2025.0,63.4499364540758,383.13756309035153,371.27292013230476,7.430559778210779,7.187415498927648
Friction,F,Строительство,hardware,0.0586892788686925,1.8509140004629332,1.791626063510512,2029.0,2029.0,27.66995567428562,51.214708349724035,49.5742137622307,2.4448419153242265,2.3616139080007637
Friction,DE,Энергетика и ЖКХ,hybrid,0.1864829658273457,0.9964197058069312,0.965563519453389,,,317.78152817150084,316.6437768115239,306.83825075855066,1.2261406734957851,1.1860186504914014
Friction,H,Транспорт и логистика,hardware,0.0586892788686925,0.689616876973739,0.6675272704802745,,,194.46760228431435,134.10814055988,129.81242774969195,0.9109036108207619,0.8798943697253616
Friction,B,Добыча полезных ископаемых,hardware,0.0586892788686925,0.647012829408632,0.6262879033300117,,,685.0430442293795,443.23163831355345,429.0341718612265,0.8546286238556252,0.8255351119523276
