scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,adaptation,diffusion_speed,delta_sL_potential,delta_sL_t,labour_share_t,pi0_proxy,gamma_margin,margin_t,capital_intensity_anchor,capital_intensity_norm,capital_barrier,delta_k_need_bn_rub,cumulative_delta_k_need_bn_rub
Base,2025,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.005,0.005,-0.0978230906786185,-0.0004891154533930925,0.1024476397724678,0.8898910652809102,0.07119128522247282,0.8529127222194808,400.66629658784854,0.43317606589047225,0.6,29.18092782167459,29.18092782167459
Base,2026,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.01072125,0.00572125,-0.0978230906786185,-0.0010487858109381385,0.10188796941492277,0.8898910652809102,0.07119128522247282,0.8548714068586174,400.66629658784854,0.43317606589047225,0.6,33.39027665995115,62.57120448162574
Base,2027,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.017258589469765627,0.006537339469765625,-0.0978230906786185,-0.0016882885626859332,0.10124846666317497,0.8898910652809102,0.07119128522247282,0.8552546342208365,400.66629658784854,0.43317606589047225,0.6,38.15312624260303,100.72433072422876
Base,2028,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.024716406106308757,0.00745781663654313,-0.0978230906786185,-0.0024178352357870016,0.1005189199900739,0.8898910652809102,0.07119128522247282,0.8557694879333277,400.66629658784854,0.43317606589047225,0.6,43.52520179564981,144.24953251987858
Base,2029,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.03320864988210173,0.008492243775792973,-0.0978230906786185,-0.003248572768731331,0.09968818245712957,0.8898910652809102,0.07119128522247282,0.8563524616195747,400.66629658784854,0.43317606589047225,0.6,49.56231053309601,193.8118430529746
Base,2030,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.04285848195095768,0.00964983206885595,-0.0978230906786185,-0.004192549166236467,0.09874420605962443,0.8898910652809102,0.07119128522247282,0.8570149876133488,400.66629658784854,0.43317606589047225,0.6,56.31821061851325,250.13005367148787
Base,2031,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.05379743441257546,0.01093895246161778,-0.0978230906786185,-0.0052626313048184,0.09767412392104251,0.8898910652809102,0.07119128522247282,0.8577659502241891,400.66629658784854,0.43317606589047225,0.6,63.84175644543961,313.9718101169275
Base,2032,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.06616393780999259,0.012366503397417138,-0.0978230906786185,-0.00647236088804138,0.09646439433781953,0.8898910652809102,0.07119128522247282,0.8586148317699454,400.66629658784854,0.43317606589047225,0.6,72.17320860930462,386.14501872623214
Base,2033,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.08010105879246283,0.013937120982470241,-0.0978230906786185,-0.007835733137708443,0.09510102208815246,0.8898910652809102,0.07119128522247282,0.8595714195301151,400.66629658784854,0.43317606589047225,0.6,81.33962428628212,467.48464301251425
Base,2034,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.0957532853744189,0.015652226581956072,-0.0978230906786185,-0.009366882317957416,0.09356987290790349,0.8898910652809102,0.07119128522247282,0.8606455891787131,400.66629658784854,0.43317606589047225,0.6,91.3492988273113,558.8339418398256
Base,2035,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.11326220800471042,0.017508922630291506,-0.0978230906786185,-0.011079659244105337,0.09185709598175557,0.8898910652809102,0.07119128522247282,0.8618470063998526,400.66629658784854,0.43317606589047225,0.6,102.18532150196425,661.0192633417898
Fast,2025,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.0075,0.0075,-0.0978230906786185,-0.0007336731800896387,0.10220308204577126,0.8898910652809102,0.07119128522247282,0.8530907004325369,400.66629658784854,0.43317606589047225,0.44999999999999996,32.82854379938391,32.82854379938391
Fast,2026,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.016283625000000003,0.008783625000000002,-0.0978230906786185,-0.0015929145249516195,0.10134384070090928,0.8898910652809102,0.07119128522247282,0.8552599326238592,400.66629658784854,0.43317606589047225,0.44999999999999996,38.44714907064848,71.27569287003239
Fast,2027,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.02654482215273469,0.010261197152734687,-0.0978230906786185,-0.0025966965444947664,0.10034005868136614,0.8898910652809102,0.07119128522247282,0.8558994329335267,400.66629658784854,0.43317606589047225,0.44999999999999996,44.914688021688555,116.19038089172093
Fast,2028,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.038496971009119765,0.011952148856385078,-0.0978230906786185,-0.00376589268587727,0.09917086253998364,0.8898910652809102,0.07119128522247282,0.8567234923125211,400.66629658784854,0.43317606589047225,0.44999999999999996,52.31621896381252,168.50659985553347
Fast,2029,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.052370935488355065,0.013873964479235298,-0.0978230906786185,-0.005123086771201437,0.09781366845465947,0.8898910652809102,0.07119128522247282,0.8576766252639325,400.66629658784854,0.43317606589047225,0.44999999999999996,60.728273410356344,229.2348732658898
Fast,2030,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.06841123318098974,0.01604029769263467,-0.0978230906786185,-0.006692198266900074,0.09624455695896084,0.8898910652809102,0.07119128522247282,0.8587785671359655,400.66629658784854,0.43317606589047225,0.44999999999999996,70.21061538104186,299.44548864693166
Fast,2031,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.08686975347614859,0.01845852029515885,-0.0978230906786185,-0.008497867771526517,0.09443888745433439,0.8898910652809102,0.07119128522247282,0.8600464222853869,400.66629658784854,0.43317606589047225,0.44999999999999996,80.7955122641919,380.2410009111236
Fast,2032,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.10799644221836299,0.021126688742214402,-0.0978230906786185,-0.010564545760095106,0.0923722094657658,0.8898910652809102,0.07119128522247282,0.8614972670855783,400.66629658784854,0.43317606589047225,0.44999999999999996,92.47445689463154,472.71545780575514
Fast,2033,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.13202644682530223,0.024030004606939256,-0.0978230906786185,-0.012915235079767344,0.09002152014609356,0.8898910652809102,0.07119128522247282,0.8631471255649023,400.66629658784854,0.43317606589047225,0.44999999999999996,105.18267449844035,577.8981323041955
Fast,2034,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.15916343202363029,0.02713698519832805,-0.0978230906786185,-0.015569858843567716,0.08736689638229318,0.8898910652809102,0.07119128522247282,0.8650098246083447,400.66629658784854,0.43317606589047225,0.44999999999999996,118.78236095553937,696.6804932597349
Fast,2035,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.18955918439086916,0.030395752367238883,-0.0978230906786185,-0.018543265283632957,0.08439348994222795,0.8898910652809102,0.07119128522247282,0.8670955900072627,400.66629658784854,0.43317606589047225,0.44999999999999996,133.04643838708387,829.7269316468188
Friction,2025,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.0025,0.0025,-0.0978230906786185,-0.00024455772669654626,0.10269219749916436,0.8898910652809102,0.07119128522247282,0.8527347440064246,400.66629658784854,0.43317606589047225,1.2,29.18092782167459,29.18092782167459
Friction,2026,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.0053678125,0.0028678125,-0.0978230906786185,-0.0005250960089333218,0.10241165921692759,0.8898910652809102,0.07119128522247282,0.8544977556225317,400.66629658784854,0.43317606589047225,1.2,33.47417182743847,62.655099649113055
Friction,2027,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.008655242832094727,0.0032874303320947268,-0.0978230906786185,-0.0008466826044094653,0.10209007262145144,0.8898910652809102,0.07119128522247282,0.8546578270005556,400.66629658784854,0.43317606589047225,1.2,38.37210689585598,101.02720654496903
Friction,2028,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.01242065416555632,0.003765411333461593,-0.0978230906786185,-0.0012150267787249766,0.10172172844713592,0.8898910652809102,0.07119128522247282,0.8549191758724068,400.66629658784854,0.43317606589047225,1.2,43.95127853626329,144.97848508123232
Friction,2029,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.016729559757490825,0.004308905591934505,-0.0978230906786185,-0.0016365372411703918,0.10130021798469051,0.8898910652809102,0.07119128522247282,0.8552149678247075,400.66629658784854,0.43317606589047225,1.2,50.295145227460324,195.27363030869265
Friction,2030,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.021655188096268804,0.004925628338777979,-0.0978230906786185,-0.002118377428803843,0.10081837779705706,0.8898910652809102,0.07119128522247282,0.8555532200443491,400.66629658784854,0.43317606589047225,1.2,57.493762012110054,252.76739232080268
Friction,2031,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.027278986264745737,0.005623798168476931,-0.0978230906786185,-0.0026685147469970106,0.10026824047886389,0.8898910652809102,0.07119128522247282,0.8559393945024927,400.66629658784854,0.43317606589047225,1.2,65.64305937519644,318.41045169599914
Friction,2032,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.0336910152750509,0.006412029010305168,-0.0978230906786185,-0.0032957592423060256,0.09964099598355487,0.8898910652809102,0.07119128522247282,0.8563796736079702,400.66629658784854,0.43317606589047225,1.2,74.84358229607946,393.2540339920786
Friction,2033,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.04099017735158136,0.007299162076530451,-0.0978230906786185,-0.004009785835996397,0.0989269693898645,0.8898910652809102,0.07119128522247282,0.8568808389617891,400.66629658784854,0.43317606589047225,1.2,85.19852868557581,478.4525626776544
Friction,2034,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.04928419931504249,0.008294021963461136,-0.0978230906786185,-0.004821132698618509,0.0981156225272424,0.8898910652809102,0.07119128522247282,0.8574502752609301,400.66629658784854,0.43317606589047225,1.2,96.81090250685727,575.2634651845117
Friction,2035,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.05868927886869253,0.009405079553650043,-0.0978230906786185,-0.0057411666486348375,0.09719558857722607,0.8898910652809102,0.07119128522247282,0.8580959449532295,400.66629658784854,0.43317606589047225,1.2,109.77957904486775,685.0430442293795
Base,2025,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.01,0.01,-0.0556642039037498,-0.000556642039037498,0.4152997387752675,0.5797787802499513,0.08696681703749269,0.5563245334346864,124.00654296875,0.13406834287121833,0.35,9.946214644922664,9.946214644922664
Base,2026,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.022375,0.012375,-0.0556642039037498,-0.0012454865623464017,0.4146108942519586,0.5797787802499513,0.08696681703749269,0.5583847422517225,124.00654296875,0.13406834287121833,0.35,12.308440623091796,22.25465526801446
Base,2027,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.03761983984375,0.01524483984375,-0.0556642039037498,-0.002094078435888911,0.41376230237841605,0.5797787802499513,0.08696681703749269,0.5596241038889577,124.00654296875,0.13406834287121833,0.35,15.162844931340677,37.41750019935514
Base,2028,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.05629478831878265,0.018674948475032652,-0.0556642039037498,-0.00313360457569515,0.4127227762386098,0.5797787802499513,0.08696681703749269,0.5611962088030266,124.00654296875,0.13406834287121833,0.35,18.574504601554594,55.99200480090973
Base,2029,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.07901326171732635,0.0227184733985437,-0.0556642039037498,-0.004398210311333602,0.4114581705029714,0.5797787802499513,0.08696681703749269,0.5631060063690115,124.00654296875,0.13406834287121833,0.35,22.596281282688132,78.58828608359786
