scenario,sector_id,sector_name_ru,class_id,ai_intensity,rti_bucket,p,q,A_2030,A_2035,year_A50,peak_speed_year,peak_speed,delta_sL_2030,delta_sL_2035,labour_share_2035,margin_2030,margin_2035,margin_peak_year,margin_peak,cumulative_delta_k_need_bn_rub
Base,J,ИТ и связь,software,high,low,0.03,0.4,0.38430669109244664,0.8760270905468406,2032,2032,0.1150746392771966,-0.02622726974374435,-0.05978506057567604,0.5073262441941574,0.45116411449743443,0.5015662676533251,2035,0.5015662676533251,161.86555663110417
Base,K,Финансы и страхование,software,high,low,0.03,0.4,0.38430669109244664,0.8760270905468406,2032,2032,0.1150746392771966,-0.028251483682736677,-0.06439925618746475,0.2781090066252744,0.6683484647756834,0.7430135380842121,2035,0.7430135380842121,151.1023474601533
Base,M,Профессиональные и научные услуги,software,high,low,0.03,0.4,0.38430669109244664,0.8760270905468406,2032,2032,0.1150746392771966,-0.014610184102732867,-0.03330391421364023,0.47018160296313205,0.5181811345882104,0.5760701467431358,2035,0.5760701467431358,74.52491422091063
Base,B,Добыча полезных ископаемых,hardware,low,high,0.005,0.15,0.04285848195095768,0.11326220800471042,,2035,0.017508922630291506,-0.004192549166236467,-0.011079659244105337,0.09185709598175557,0.8570149876133488,0.8618470063998526,2035,0.8618470063998526,661.0192633417897
Base,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.01,0.25,0.106415670647682,0.330372209277719,,2035,0.05693314496227969,-0.005923543589486853,-0.01838990602136725,0.39746647479293773,0.5654089834140897,0.5842009520049836,2035,0.5842009520049836,328.59529061935035
Base,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.01,0.25,0.106415670647682,0.330372209277719,,2035,0.05693314496227969,-0.011122678199919704,-0.034530851965951855,0.38132552884835313,0.5654089834140897,0.5842009520049836,2035,0.5842009520049836,112.4075627597619
Base,DE,Энергетика и ЖКХ,hybrid,low,medium,0.01,0.25,0.106415670647682,0.330372209277719,,2035,0.05693314496227969,-0.005996277764642503,-0.0186157125213866,0.4103527798113885,0.5412660160221551,0.5592555674279156,2035,0.5592555674279156,562.9800291082315
Base,F,Строительство,hardware,low,high,0.005,0.15,0.04285848195095768,0.11326220800471042,,2035,0.017508922630291506,-0.002902751586684827,-0.007671108238815109,0.7415359525495214,0.23793101854558935,0.23927252034908283,2035,0.23927252034908283,26.69959774146968
Base,G,Оптовая и розничная торговля,hybrid,medium,high,0.01,0.25,0.106415670647682,0.330372209277719,,2035,0.05693314496227969,-0.014601743528014105,-0.04533176588838924,0.5185440506694493,0.42103700711107567,0.43503061960279765,2035,0.43503061960279765,127.28884384835686
Base,H,Транспорт и логистика,hardware,medium,high,0.005,0.15,0.04285848195095768,0.11326220800471042,,2035,0.017508922630291506,-0.007644697513701632,-0.020202659555715298,0.4923844630516988,0.4664242280074673,0.4690540193936005,2035,0.4690540193936005,187.6478161316518
Fast,J,ИТ и связь,software,high,low,0.045,0.48,0.5835531988576232,0.975177328345722,2030,2030,0.14347300732656415,-0.03982498226288255,-0.0665516355330767,0.5005596692367567,0.4718166711801749,0.5115826358337383,2035,0.5115826358337383,135.13933196533375
Fast,K,Финансы и страхование,software,high,low,0.045,0.48,0.5835531988576232,0.975177328345722,2030,2030,0.14347300732656415,-0.04289866415978976,-0.07168807366121707,0.27082018915152206,0.6989428850964974,0.7578516514910472,2035,0.7578516514910472,126.15327633102508
Fast,M,Профессиональные и научные услуги,software,high,low,0.045,0.48,0.5835531988576232,0.975177328345722,2030,2030,0.14347300732656415,-0.022184936839930367,-0.0370733079339357,0.46641220924283655,0.5419014725098794,0.5875743707303681,2035,0.5875743707303681,62.21982818457358
Fast,B,Добыча полезных ископаемых,hardware,low,high,0.0075,0.18,0.06841123318098974,0.18955918439086916,,2035,0.030395752367238883,-0.006692198266900074,-0.018543265283632957,0.08439348994222795,0.8587785671359655,0.8670955900072627,2035,0.8670955900072627,829.7269316468187
Fast,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.015,0.3,0.1737561575926217,0.528215187663118,2035,2035,0.0824314234695902,-0.009671998185767777,-0.02940267791113727,0.3864537029031677,0.5710939975481555,0.6007992615268454,2035,0.6007992615268454,394.03062264041085
Fast,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.015,0.3,0.1737561575926217,0.528215187663118,2035,2035,0.0824314234695902,-0.018161176961951173,-0.05520960885674815,0.36064677195755684,0.5710939975481555,0.6007992615268454,2035,0.6007992615268454,134.7920168309064
Fast,DE,Энергетика и ЖКХ,hybrid,low,medium,0.015,0.3,0.1737561575926217,0.528215187663118,2035,2035,0.0824314234695902,-0.009790758991613338,-0.029763708347214313,0.3992047839855608,0.5467082800144868,0.5751451290216355,2035,0.5751451290216355,675.0899289685981
Fast,F,Строительство,hardware,low,high,0.0075,0.18,0.06841123318098974,0.18955918439086916,,2035,0.030395752367238883,-0.004633407592233825,-0.012838607393768922,0.7363684533945676,0.23842063690485618,0.24072967204617332,2035,0.24072967204617332,33.51396326672441
Fast,G,Оптовая и розничная торговля,hybrid,medium,high,0.015,0.3,0.1737561575926217,0.528215187663118,2035,2035,0.0824314234695902,-0.023841816098500793,-0.0724786363786046,0.49139718017923395,0.42527040524694887,0.4473907036644083,2035,0.4473907036644083,152.6367048724602
Fast,H,Транспорт и логистика,hardware,medium,high,0.0075,0.18,0.06841123318098974,0.18955918439086916,,2035,0.030395752367238883,-0.012202559689501291,-0.03381180479678202,0.4787753178106321,0.4673840434474015,0.471910523180117,2035,0.471910523180117,235.53995374055643
Friction,J,ИТ и связь,software,high,low,0.015,0.4,0.21622987079180417,0.7033726225962497,2034,2034,0.10757619499423784,-0.014756753601636936,-0.04800213977736624,0.5191091649924672,0.4337261719502664,0.4839600293845773,2035,0.4839600293845773,129.96379028022073
Friction,K,Финансы и страхование,software,high,low,0.015,0.4,0.21622987079180417,0.7033726225962497,2034,2034,0.10757619499423784,-0.015895676052451072,-0.05170693258989217,0.29080133022284693,0.6425161306964786,0.7169318929815197,2035,0.7169318929815197,121.32188097876528
Friction,M,Профессиональные и научные услуги,software,high,low,0.015,0.4,0.21622987079180417,0.7033726225962497,2034,2034,0.10757619499423784,-0.008220409100341296,-0.02674011082071225,0.47674540635606,0.49815291744146095,0.5558486348170537,2035,0.5558486348170537,59.836944462072736
Friction,B,Добыча полезных ископаемых,hardware,low,high,0.0025,0.15,0.021655188096268804,0.05868927886869253,,2035,0.009405079553650043,-0.002118377428803843,-0.0057411666486348375,0.09719558857722607,0.8555532200443491,0.8580959449532295,2035,0.8580959449532295,685.0430442293795
Friction,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,medium,0.005,0.25,0.05472047336081645,0.18648296582734572,,2035,0.036176992124506036,-0.003045971586866196,-0.010380425834389377,0.4054759549799156,0.5610504655955735,0.5721214032843296,2035,0.5721214032843296,185.47996057405587
Friction,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,medium,0.005,0.25,0.05472047336081645,0.18648296582734572,,2035,0.036176992124506036,-0.005719441623919304,-0.019491396389647905,0.39636498442465706,0.5610504655955735,0.5721214032843296,2035,0.5721214032843296,63.44993645407578
