scenario,sector_id,sector_name_ru,class_id,A_2030,A_2035,delta_sL_2030,delta_sL_2035,labour_share_t_2030,labour_share_t_2035,margin_t_2030,margin_t_2035
Base,B,Добыча полезных ископаемых,hardware,0.04285848195095768,0.11326220800471042,-0.004192549166236467,-0.011079659244105337,0.09874420605962443,0.09185709598175557,0.8570149876133488,0.8618470063998526
Base,C,Обрабатывающая промышленность без машиностроения,hybrid,0.106415670647682,0.330372209277719,-0.005923543589486853,-0.01838990602136725,0.4099328372248181,0.39746647479293773,0.5654089834140897,0.5842009520049836
Base,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.106415670647682,0.330372209277719,-0.011122678199919704,-0.034530851965951855,0.4047337026143853,0.38132552884835313,0.5654089834140897,0.5842009520049836
Base,DE,Энергетика и ЖКХ,hybrid,0.106415670647682,0.330372209277719,-0.005996277764642503,-0.0186157125213866,0.4229722145681326,0.4103527798113885,0.5412660160221551,0.5592555674279156
Base,F,Строительство,hardware,0.04285848195095768,0.11326220800471042,-0.002902751586684827,-0.007671108238815109,0.7463043092016517,0.7415359525495214,0.23793101854558935,0.23927252034908283
Base,G,Оптовая и розничная торговля,hybrid,0.106415670647682,0.330372209277719,-0.014601743528014105,-0.04533176588838924,0.5492740730298245,0.5185440506694493,0.42103700711107567,0.43503061960279765
Base,H,Транспорт и логистика,hardware,0.04285848195095768,0.11326220800471042,-0.007644697513701632,-0.020202659555715298,0.5049424250937125,0.4923844630516988,0.4664242280074673,0.4690540193936005
Base,J,ИТ и связь,software,0.38430669109244664,0.8760270905468406,-0.02622726974374435,-0.05978506057567604,0.5408840350260891,0.5073262441941574,0.45116411449743443,0.5015662676533251
Base,K,Финансы и страхование,software,0.38430669109244664,0.8760270905468406,-0.028251483682736677,-0.06439925618746475,0.31425677913000244,0.2781090066252744,0.6683484647756834,0.7430135380842121
Base,M,Профессиональные и научные услуги,software,0.38430669109244664,0.8760270905468406,-0.014610184102732867,-0.03330391421364023,0.4888753330740394,0.47018160296313205,0.5181811345882104,0.5760701467431358
Fast,B,Добыча полезных ископаемых,hardware,0.06841123318098974,0.18955918439086916,-0.006692198266900074,-0.018543265283632957,0.09624455695896084,0.08439348994222795,0.8587785671359655,0.8670955900072627
Fast,C,Обрабатывающая промышленность без машиностроения,hybrid,0.1737561575926217,0.528215187663118,-0.009671998185767777,-0.02940267791113727,0.4061843826285372,0.3864537029031677,0.5710939975481555,0.6007992615268454
Fast,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,0.1737561575926217,0.528215187663118,-0.018161176961951173,-0.05520960885674815,0.3976952038523538,0.36064677195755684,0.5710939975481555,0.6007992615268454
Fast,DE,Энергетика и ЖКХ,hybrid,0.1737561575926217,0.528215187663118,-0.009790758991613338,-0.029763708347214313,0.41917773334116176,0.3992047839855608,0.5467082800144868,0.5751451290216355
Fast,F,Строительство,hardware,0.06841123318098974,0.18955918439086916,-0.004633407592233825,-0.012838607393768922,0.7445736531961027,0.7363684533945676,0.23842063690485618,0.24072967204617332
