sector_id,sector_name_ru,sector_label_ru,deadweight_loss_bn_rub,platform_markup_mid,attention_dependency
J,ИТ и связь,ИТ и связь,32.281522086239015,0.18,0.9
G_nonfood,Торговля (не еда),Торговля (не еда),27.12101663021401,0.12,0.9
M,Профессиональные и научные услуги,Проф. услуги,54.75221261890661,0.22,0.7
K,Финансы и страхование,Финансы,1.6910172667235805,0.06,0.85
G_food,Торговля (еда),Торговля (еда),1.9898312024989477,0.07,0.78
H,Транспорт и логистика,Транспорт,10.920785240184887,0.12,0.45
C,Обрабатывающая промышленность без машиностроения,Обработка,4.451258708169463,0.08,0.35
C_mach,Машиностроение (ОКВЭД 26–30),Машиностр.,0.30454188290733253,0.06,0.25
DE,Энергетика и ЖКХ,Энергия и ЖКХ,0.14022127928085187,0.05,0.3
F,Строительство,Стройка,1.1214913776545132,0.08,0.2
B,Добыча полезных ископаемых,Добыча,0.2155681635766308,0.05,0.1
