year,sector_id,sector_name_ru,n_rows,n_countries_stan,n_countries_klems,n_benchmark_ready,n_requested_countries,stan_coverage_ratio,klems_coverage_ratio,benchmark_ready_ratio
1985,B,Добыча полезных ископаемых,17,17,0,0,30,0.5666666666666667,0.0,0.0
1986,B,Добыча полезных ископаемых,17,17,0,0,30,0.5666666666666667,0.0,0.0
1987,B,Добыча полезных ископаемых,17,17,0,0,30,0.5666666666666667,0.0,0.0
1988,B,Добыча полезных ископаемых,17,17,0,0,30,0.5666666666666667,0.0,0.0
1989,B,Добыча полезных ископаемых,18,18,0,0,30,0.6,0.0,0.0
1990,B,Добыча полезных ископаемых,19,19,0,0,30,0.6333333333333333,0.0,0.0
1991,B,Добыча полезных ископаемых,21,21,0,0,30,0.7,0.0,0.0
1992,B,Добыча полезных ископаемых,21,21,0,0,30,0.7,0.0,0.0
1993,B,Добыча полезных ископаемых,21,21,0,0,30,0.7,0.0,0.0
1994,B,Добыча полезных ископаемых,22,22,0,0,30,0.7333333333333333,0.0,0.0
1995,B,Добыча полезных ископаемых,29,25,29,11,30,0.8333333333333334,0.9666666666666667,0.36666666666666664
1996,B,Добыча полезных ископаемых,29,25,29,11,30,0.8333333333333334,0.9666666666666667,0.36666666666666664
1997,B,Добыча полезных ископаемых,29,25,29,11,30,0.8333333333333334,0.9666666666666667,0.36666666666666664
1998,B,Добыча полезных ископаемых,29,25,29,11,30,0.8333333333333334,0.9666666666666667,0.36666666666666664
1999,B,Добыча полезных ископаемых,29,25,29,11,30,0.8333333333333334,0.9666666666666667,0.36666666666666664
2000,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
2001,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
2002,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
2003,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
2004,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
2005,B,Добыча полезных ископаемых,29,25,29,12,30,0.8333333333333334,0.9666666666666667,0.4
1985,C,Обрабатывающая промышленность,17,17,0,0,30,0.5666666666666667,0.0,0.0
1986,C,Обрабатывающая промышленность,17,17,0,0,30,0.5666666666666667,0.0,0.0
1987,C,Обрабатывающая промышленность,17,17,0,0,30,0.5666666666666667,0.0,0.0
1988,C,Обрабатывающая промышленность,17,17,0,0,30,0.5666666666666667,0.0,0.0
1989,C,Обрабатывающая промышленность,18,18,0,0,30,0.6,0.0,0.0
1990,C,Обрабатывающая промышленность,19,19,0,0,30,0.6333333333333333,0.0,0.0
1991,C,Обрабатывающая промышленность,21,21,0,0,30,0.7,0.0,0.0
1992,C,Обрабатывающая промышленность,21,21,0,0,30,0.7,0.0,0.0
1993,C,Обрабатывающая промышленность,21,21,0,0,30,0.7,0.0,0.0
1994,C,Обрабатывающая промышленность,22,22,0,0,30,0.7333333333333333,0.0,0.0
1995,C,Обрабатывающая промышленность,30,25,30,15,30,0.8333333333333334,1.0,0.5
1996,C,Обрабатывающая промышленность,30,25,30,15,30,0.8333333333333334,1.0,0.5
1997,C,Обрабатывающая промышленность,30,25,30,15,30,0.8333333333333334,1.0,0.5
1998,C,Обрабатывающая промышленность,30,25,30,15,30,0.8333333333333334,1.0,0.5
1999,C,Обрабатывающая промышленность,30,25,30,15,30,0.8333333333333334,1.0,0.5
2000,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
2001,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
2002,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
2003,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
2004,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
2005,C,Обрабатывающая промышленность,30,25,30,17,30,0.8333333333333334,1.0,0.5666666666666667
1985,DE,Энергетика и ЖКХ,17,17,0,0,30,0.5666666666666667,0.0,0.0
1986,DE,Энергетика и ЖКХ,17,17,0,0,30,0.5666666666666667,0.0,0.0
1987,DE,Энергетика и ЖКХ,17,17,0,0,30,0.5666666666666667,0.0,0.0
1988,DE,Энергетика и ЖКХ,17,17,0,0,30,0.5666666666666667,0.0,0.0
1989,DE,Энергетика и ЖКХ,18,18,0,0,30,0.6,0.0,0.0
1990,DE,Энергетика и ЖКХ,19,19,0,0,30,0.6333333333333333,0.0,0.0
1991,DE,Энергетика и ЖКХ,21,21,0,0,30,0.7,0.0,0.0
1992,DE,Энергетика и ЖКХ,21,21,0,0,30,0.7,0.0,0.0
