country,country_iso3,sector_id,sector_name_ru,okved,ai_intensity,year,coverage_status,benchmark_core_ready,pre_1995_klems_gap,is_proxy_mn,staffing_proxy_exact,va_real_growth,employment_growth,labour_share,labour_share_structural,margin_share_stan,margin,ict_share_proxy,techint,rti_staffing_base,rti_base_year,rti_base_year_exact,rti_year_distance,rti_year_priority,rti_n_occ_available,rti_weight_coverage,rti_base_source,rti_total_source,k_l_real_klems,emp_per_va,occ,hours_klems,va_real_klems,va_real_stan,va_nominal_klems,va_nominal_stan,comp_nominal_klems,comp_nominal_stan,capital_real_klems,net_capital_stock_stan,employment_klems,employment_stan,ict_share_klems,ict_capital_share_stan,ict_investment_share_stan,requested_benchmark_window,employees_stan,gfcf_ict_stan,gfcf_total_stan,gross_capital_stock_ict_stan,gross_capital_stock_stan,gross_operating_surplus_stan,intermediate_nominal_stan,net_capital_stock_ict_stan,net_taxes_prod_stan,output_nominal_stan,self_employed_stan,va_factor_cost_stan,wages_nominal_stan,labour_share_stan,k_l_nominal_stan,hours_klems_gap_flag,va_real_growth_stan,employment_growth_stan,has_stan,capital_nominal_klems,capital_ict_ct_real_klems,capital_ict_it_real_klems,capital_ict_softdb_real_klems,labour_share_klems_official,labour_share_klems_from_levels,capital_ict_real_klems,techint_klems,hours_per_worker_klems,va_real_growth_klems,employment_growth_klems,has_klems,rti_sector_total_employment,rti_classified_employment,rti_proxy_source,klems_available_for_requested_window,employment
AT,AUT,B,Добыча полезных ископаемых,B,low,1985,stan_only,False,True,False,True,,,0.2986040872514705,,0.7936487796104499,0.7936487796104499,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.010113274692722928,,,,1059.734096258046,,765.198732756103,,228.491469160618,,2759.700009958755,,10.7173820167021,,,,1985-2005,10.4421472691076,,146.018929599509,,3753.086465421647,607.299040411344,835.995612038487,,-70.5917768158589,1601.19434479459,0.2752347475944994,835.7905095719619,197.796104581175,0.2986040872514705,257.49758715869274,True,,,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,10.7173820167021
AT,AUT,B,Добыча полезных ископаемых,B,low,1986,stan_only,False,True,False,True,-0.12666752124326852,-0.0456478881005441,0.38344069692566096,,0.6740619552053306,0.6740619552053306,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.011051489891867317,,,,925.500205108064,,583.497591492018,,223.736723136144,,2804.9284774462367,,10.2281561616729,,,,1985-2005,9.99814909186699,,204.149874786978,,3747.54604343374,393.313527378711,675.1290154020219,,-33.55265902283696,1258.62660689404,0.2300070698059091,617.050250514855,195.298971685011,0.38344069692566096,274.2359847766997,True,-0.12666752124326852,-0.0456478881005441,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,10.2281561616729
AT,AUT,B,Добыча полезных ископаемых,B,low,1987,stan_only,False,True,False,True,-0.11775855779577626,-0.06728068800762577,0.4348603238070611,,0.6027160339855508,0.6027160339855508,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.011683806218260888,,,,816.5146357148433,,492.326444067615,,214.093236886022,,3041.1701331926374,,9.53999877806611,,,,1985-2005,9.32482268321155,,336.213086277908,,3896.6517697579434,296.733041794642,571.230418275645,,-18.499834613049018,1063.55686234326,0.2151760948545593,510.826278680664,187.606316226954,0.4348603238070611,318.7809772245196,True,-0.11775855779577626,-0.06728068800762577,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,9.53999877806611
AT,AUT,B,Добыча полезных ископаемых,B,low,1988,stan_only,False,True,False,True,0.06363466851689847,-0.10478386214639746,0.4202476373252788,,0.6244598179595222,0.6244598179595222,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.009833763591709442,,,,868.4732738977534,,486.197902324686,,204.323519724456,,3017.326167784694,,8.54036086122843,,,,1985-2005,8.35251844905001,,167.208311918339,,3874.710787177738,303.611053577975,548.7081959831839,,-21.73667097774495,1034.90609830787,0.187842412178421,507.934573302431,171.216396011888,0.4202476373252788,353.3019525536404,True,0.06363466851689847,-0.10478386214639746,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,8.54036086122843
AT,AUT,B,Добыча полезных ископаемых,B,low,1989,stan_only,False,True,False,True,-0.04171723158748453,-0.06739387135521946,0.3891035398248209,,0.6696226992274776,0.6696226992274776,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.009570273509628894,,,,832.2429732030199,,502.054751802244,,195.351281112125,,2939.4236668932776,,7.96479288001965,,,,1985-2005,7.78341699662595,,139.0844222479,,3814.2770240116847,336.1872580618,536.339565793156,,-29.483787371680933,1038.3943175954,0.1813758833937004,531.538539173925,163.353228775234,0.3891035398248209,369.05211612810024,True,-0.04171723158748453,-0.06739387135521946,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,7.96479288001965
AT,AUT,B,Добыча полезных ископаемых,B,low,1990,stan_only,False,True,False,True,-0.043130403600757594,-0.04137587724008174,0.36747321114283515,,0.7002945461047345,0.7002945461047345,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.00958782166584026,,,,796.3479978748792,,526.039854759859,,193.305554617716,,2882.524297649731,,7.63524258757328,,,,1985-2005,7.4745254725352,,140.126986835413,,3767.03459601995,368.382841322056,548.5153759133409,,-35.64854117991291,1074.5552306732,0.1607171150380795,561.6883959397719,161.659825904296,0.36747321114283515,377.52884267766115,True,-0.043130403600757594,-0.04137587724008174,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,7.63524258757328
AT,AUT,B,Добыча полезных ископаемых,B,low,1991,stan_only,False,True,False,True,-0.05530954710943736,-0.04469220680933017,0.373806395927849,,0.6963806170013699,0.6963806170013699,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.00969557883121807,,,,752.3023507709124,,512.697623772183,,191.649650943052,,2856.871259597524,,7.29400674681005,,,,1985-2005,7.15596316146907,,156.295185157157,,3743.64393293661,357.032687577609,588.732819442687,,-35.98471474847804,1101.43044321487,0.1380435853409798,548.682338520661,160.370624237039,0.373806395927849,391.6737890113611,True,-0.05530954710943736,-0.04469220680933017,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,7.29400674681005
AT,AUT,B,Добыча полезных ископаемых,B,low,1992,stan_only,False,True,False,True,-0.08474427184816258,-0.03950178113895886,0.39173835397905704,,0.6706377173604915,0.6706377173604915,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.010174846124171811,,,,688.5490358451705,,486.783540335899,,190.691782835283,,2834.4817468085007,,7.00588048867147,,,,1985-2005,6.87521033494809,,160.134167586363,,3729.245256168353,326.455402339526,617.300495629951,,-30.363644838910037,1104.08403596585,0.1306701537233801,517.147185174809,158.873147423315,0.39173835397905704,404.5860832755949,True,-0.08474427184816258,-0.03950178113895886,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,7.00588048867147
AT,AUT,B,Добыча полезных ископаемых,B,low,1993,stan_only,False,True,False,True,-0.0030082158983020246,-0.027220967039845112,0.39804966452377544,,0.6596608051830124,0.6596608051830124,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.009927741763798329,,,,686.4777316887805,,481.335964804299,,191.595619313579,,2808.162489988837,,6.81517364680425,,,,1985-2005,6.69643963350166,,159.399633370072,,3717.7880338029913,317.518470106346,654.0509905708209,,-27.778124615625984,1135.38695537512,0.11873401330259,509.114089419925,158.477407337563,0.39804966452377544,412.04562576415526,True,-0.0030082158983020246,-0.027220967039845112,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,6.81517364680425
AT,AUT,B,Добыча полезных ископаемых,B,low,1994,stan_only,False,True,False,True,-0.09984360050809482,-0.049385909470430644,0.43917387680845205,,0.5939881813721841,0.5939881813721841,,,0.5980657569438204,1995.0,True,0.0,1.0,6.0,0.9615384615384615,BA:103,reported_total,,0.010484234976424716,,,,617.9373232883428,,426.441114549263,,187.281797507117,,2807.203194384329,,6.47860009805791,,,,1985-2005,6.37462649456946,,181.448156065964,,3728.570146158003,253.300982093444,667.8720101576771,,-14.14166505129802,1094.31312470694,0.1039736034884502,440.582779600561,153.337192438397,0.43917387680845205,433.3039780038043,True,-0.09984360050809482,-0.049385909470430644,True,,,,,,,,,,,,False,11.57,11.125,Lewandowski RTI x ILOSTAT base-year staffing matrix,False,6.47860009805791
