sector_id,sector_name_ru,okved,ai_intensity,va_current_bn_rub,va_share_2024,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_index_no_gate,financial_risk_penalty,resilience_index,rank
M,Профессиональные и научные услуги,M,high,9027.867797603649,0.0733885788367322,0.6050511385807268,0.1872292413378679,0.6287598964303621,0.6815082833053803,0.46274302855136573,0.48731263577137424,1.0,0.48731263577137424,1
C,Обрабатывающая промышленность без машиностроения,C excl. 26-30,low_medium,21196.4700389022,0.17230855030058348,0.5430387436483667,0.49439513880763847,0.26651201218581866,0.5717828438493824,0.36706317166828845,0.4148243314489989,1.0,0.4148243314489989,2
K,Финансы и страхование,K,high,9210.333696751528,0.07487186518128676,0.6504987788301985,0.12412280137175696,0.8103064353019962,0.2112740399702199,0.5607395514951643,0.4186261705816093,0.9439003536724925,0.3951413904685422,3
J,ИТ и связь,J,high,6642.288495110908,0.05399592947175848,0.6304292810481913,0.20065574639651804,0.32317195303218116,0.30279203485813033,0.29162025725369106,0.3316166436517358,0.9933365241558649,0.3294069241572493,4
G,Оптовая и розничная торговля,G,medium,22144.667050602595,0.18001655319849913,0.2507511729913774,0.3265262937285826,0.21543498239475214,0.22548100099937304,0.09113540832602235,0.20256432760521906,0.954550296297248,0.19335783893481465,5
C_mach,Машиностроение (ОКВЭД 26–30),C 26-30,medium,5639.664498283935,0.045845483332719185,0.11135883136673137,0.18293831662505863,0.1724655840121292,0.22713768665053088,0.4049154988419684,0.19762557354844532,0.9557246369114779,0.18887562952401046,6
DE,Энергетика и ЖКХ,D+E,low,4868.794419474021,0.039578991529789144,0.2284599513173257,0.09750477209289535,0.06263091076681811,0.3565126617142713,0.33927813554204034,0.1652779952081624,1.0,0.1652779952081624,7
H,Транспорт и логистика,H,medium,12483.750846118985,0.10148185082990599,0.25399415734453457,0.20397097468069372,0.04453743689807016,0.3895137604138624,0.08703418291750138,0.13565597752906788,1.0,0.13565597752906788,8
F,Строительство,F,low,9345.761480454275,0.07597277325878332,0.5581817874876871,0.22440270566375248,0.014510222135861691,0.34961992364224725,0.031662647637637605,0.09715018913862752,0.9999995666259808,0.09715014703625958,9
B,Добыча полезных ископаемых,B,low,22455.017039232367,0.18253942405994225,0.07563441439403183,0.11973121053200045,0.10282876146472271,0.176008447990071,0.055554961563777476,0.09630005171001908,0.9131828172206254,0.08793955251904713,10
