scenario,throttle_scenario,total_va_cf_2030_bn_rub,total_va_ai_2030_bn_rub,total_va_gain_2030_pct,total_profit_pool_cf_2030_bn_rub,total_profit_pool_ai_2030_bn_rub,total_profit_pool_gain_2030_pct,total_labour_income_cf_2030_bn_rub,total_labour_income_ai_2030_bn_rub,total_labour_income_gain_2030_pct,total_employment_cf_2030_thousand,total_employment_ai_2030_thousand,total_employment_delta_2030_thousand,aggregate_lp_cf_2030_mrub_per_person,aggregate_lp_ai_2030_mrub_per_person,aggregate_lp_gain_vs_cf_2030_pct,cumulative_capex_2030_bn_rub,cumulative_incremental_profit_pool_2030_bn_rub,cumulative_net_value_after_capex_2030_bn_rub,total_va_cf_2035_bn_rub,total_va_ai_2035_bn_rub,total_va_gain_2035_pct,total_profit_pool_cf_2035_bn_rub,total_profit_pool_ai_2035_bn_rub,total_profit_pool_gain_2035_pct,total_labour_income_cf_2035_bn_rub,total_labour_income_ai_2035_bn_rub,total_labour_income_gain_2035_pct,total_employment_cf_2035_thousand,total_employment_ai_2035_thousand,total_employment_delta_2035_thousand,aggregate_lp_cf_2035_mrub_per_person,aggregate_lp_ai_2035_mrub_per_person,aggregate_lp_gain_vs_cf_2035_pct,cumulative_capex_2035_bn_rub,cumulative_incremental_profit_pool_2035_bn_rub,cumulative_net_value_after_capex_2035_bn_rub
Base,BaseThrottle,149120.33117836987,151437.65895014323,1.5539985416217261,80023.60178452039,83433.80906255354,4.261501859433703,68076.14699142746,64192.962279228464,-5.704178164912877,47810.46395931884,47449.90302083538,-360.56093848346063,3118.9894184096183,3191.5272594687185,2.3256841023875126,783.616374906935,9046.565149063226,8262.94877415629,177407.58903537612,184977.67091171193,4.267056396796143,94722.64925672079,106070.14545609639,11.979707375604743,81414.00432202128,75511.93277714835,-7.249454923661713,49230.89201330586,48252.500267984826,-978.3917453210306,3603.582664872848,3833.535462087614,6.381227200816284,2168.6102686680256,48760.06006709866,46591.44979843062
Base,NoThrottle,149120.33117836987,151715.95760541473,1.7406254442528857,80023.60178452039,83843.13118754645,4.773003611248217,68076.14699142746,64147.17887453302,-5.771431390482784,47810.46395931884,47413.479179247064,-396.9847800717762,3118.9894184096183,3199.8486555237014,2.592481931385123,865.6216540029737,10110.047568611099,9244.425914608126,177407.58903537612,185927.41267822683,4.8024008945591445,94722.64925672079,107518.45574089247,13.508708407734682,81414.00432202128,75319.55997826741,-7.485744491387725,49230.89201330586,48154.342907900435,-1076.5491054054219,3603.582664872848,3861.072573118274,7.145386472062839,2394.13122186278,54818.53244739822,52424.40122553543
Base,SanctionBase,149120.33117836987,151184.27779530137,1.3840812990568718,80023.60178452039,83044.32817661855,3.7747943415894714,68076.14699142746,64257.95015284422,-5.608714663396053,47810.46395931884,47483.521791875944,-326.9421674428959,3118.9894184096183,3183.9314374774917,2.0821493873803405,699.4259392885056,8029.921243590885,7330.49530430238,177407.58903537612,184113.14077885987,3.779743459647955,94722.64925672079,104700.21816199306,10.533456341820324,81414.00432202128,75759.60457657874,-6.945242151555875,49230.89201330586,48343.55885092585,-887.3331623800041,3603.582664872848,3808.431674353942,5.68459304341566,1936.9112193733797,43017.32507052992,41080.41385115654
Base,SanctionRelief,149120.33117836987,151250.9795123314,1.428811428411425,80023.60178452039,83145.50998338978,3.901234297446088,68076.14699142746,64243.28989565137,-5.630249749973004,47810.46395931884,47474.87828597378,-335.5856733450637,3118.9894184096183,3185.916109173423,2.1457812703298913,717.7111232098919,8293.405682974259,7575.694559764366,177407.58903537612,184339.94770278272,3.907588567715803,94722.64925672079,105054.79525792807,10.907788245242923,81414.00432202128,75702.33915128373,-7.015580695608447,49230.89201330586,48320.24344170302,-910.6485716028328,3603.582664872848,3814.963141176711,5.865842300895906,1986.5844302627827,44506.67630733701,42520.09187707422
Base,StressThrottle,149120.33117836987,151253.07767451706,1.430218454649279,80023.60178452039,83163.06647690471,3.9231734418027964,68076.14699142746,64222.98229835728,-5.660080458953409,47810.46395931884,47474.24537241385,-336.2185869049936,3118.9894184096183,3186.002778727824,2.1485600407191043,728.946188842909,8341.492508812502,7612.546319969593,177407.58903537612,184351.85125796535,3.9142982892375056,94722.64925672079,105121.54918338869,10.978261279923052,81414.00432202128,75635.94147803269,-7.097136287676387,49230.89201330586,48318.30333550368,-912.5886778021741,3603.582664872848,3815.3626789810296,5.876929539388115,2018.2629665381885,44775.16574067114,42756.90277413295
Fast,BaseThrottle,149120.33117836987,152737.36542657006,2.425580884657297,80023.60178452039,85378.54365187246,6.691703132497495,68076.14699142746,63846.71079472004,-6.21280196313111,47810.46395931884,47245.36055443645,-565.1034048823931,3118.9894184096183,3232.854266200063,3.6506968288627633,938.5025579575483,14257.244904667808,13318.74234671026,177407.58903537612,186893.2988837985,5.346845588736837,94722.64925672079,108987.56032923564,15.059662271326001,81414.00432202128,74291.23668783586,-8.748823612719436,49230.89201330586,47869.18922779957,-1361.7027855062843,3603.582664872848,3904.2503518163207,8.343576793015856,2523.667226956777,68000.70135529074,65477.034128333966
Fast,NoThrottle,149120.33117836987,153175.14623691695,2.7191564198559393,80023.60178452039,86031.27170331607,7.507372556127301,68076.14699142746,63767.97793917989,-6.328456063751798,47810.46395931884,47189.03642513157,-621.4275341872708,3118.9894184096183,3245.9901248447645,4.071854354026769,1036.374576665631,15954.177113863618,14917.802537197987,177407.58903537612,188060.41757383916,6.004719750933996,94722.64925672079,110786.36035617089,16.958680131415704,81414.00432202128,73991.8192418756,-9.116595040318021,49230.89201330586,47739.11251474239,-1491.7794985634682,3603.582664872848,3939.336273077216,9.317216765338586,2778.8425584474076,76447.3633764085,73668.52081796108
Fast,SanctionBase,149120.33117836987,152339.05132393734,2.158471698750053,80023.60178452039,84759.48610096579,5.918109421265139,68076.14699142746,63955.1474983331,-6.053514593905119,47810.46395931884,47297.874874315436,-512.5890850034048,3118.9894184096183,3220.8434676768807,3.2656106066303607,837.810140293783,12639.819034386572,11802.008894092789,177407.58903537612,185817.38325130675,4.740380195490768,94722.64925672079,107276.01718349237,13.252762697492738,81414.00432202128,74672.36989595341,-8.2806815390167,49230.89201330586,47995.50140552066,-1235.3906077851934,3603.582664872848,3871.558329629893,7.436367906007234,2255.5094988186734,59981.12232017411,57725.61282135543
Fast,SanctionRelief,149120.33117836987,152443.676396474,2.2286332063794267,80023.60178452039,84919.92065791103,6.118593470180156,68076.14699142746,63930.57564270019,-6.089609256601003,47810.46395931884,47284.418115381406,-526.0458439374343,3118.9894184096183,3223.972768883134,3.3659412197379908,859.6007195626497,13058.472569059642,12198.871849496994,177407.58903537612,186096.79453568053,4.897877000386797,94722.64925672079,107714.76357757575,13.715953283404536,81414.00432202128,74584.6286704093,-8.388453200998903,49230.89201330586,47963.72631396093,-1267.1656993449287,3603.582664872848,3879.9486369663664,7.66920028746641,2311.985641556,62048.263697436996,59736.27805588099
Fast,StressThrottle,149120.33117836987,152447.76523840023,2.231375181195272,80023.60178452039,84948.50562703276,6.15431414318699,68076.14699142746,63897.97676775188,-6.137495155537698,47810.46395931884,47283.047656534734,-527.4163027841059,3118.9894184096183,3224.152688840717,3.371709753498365,873.254545485493,13135.517816221663,12262.26327073617,177407.58903537612,186124.79539869004,4.913660351686344,94722.64925672079,107810.65531419989,13.817187504973072,81414.00432202128,74484.92430093531,-8.51091907195598,49230.89201330586,47956.41166835161,-1274.480344954245,3603.582664872848,3881.124315260672,7.70182554970242,2353.550339296357,62457.67077628843,60104.120436992074
