scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,managed_obsolescence_pressure_score,managed_obsolescence_pressure_rank,fit_quality,throttle_rho,sanction_wedge,import_dependency_score,market_concentration_score,managed_adoption_factor,adaptation,adaptation_managed,diffusion_speed_managed,va_cf_growth_rate_annual,employment_cf_growth_rate_annual,va_cf_bn_rub,va_ai_bn_rub,incremental_va_vs_cf_bn_rub,va_share_cf,va_share_ai,delta_va_share_pp,labour_share_cf,labour_share_ai,margin_cf_t,margin_ai,profit_pool_cf_bn_rub,profit_pool_ai_bn_rub,incremental_profit_pool_vs_cf_bn_rub,labour_income_cf_bn_rub,labour_income_ai_bn_rub,incremental_labour_income_vs_cf_bn_rub,employment_cf_thousand,employment_ai_thousand,employment_delta_vs_cf_thousand,labour_productivity_cf_mrub_per_person,labour_productivity_ai_mrub_per_person,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,cumulative_incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub
Base,BaseThrottle,2025,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.005,0.004651048949635697,0.004651048949635697,0.012418660446981845,0.01210671186349388,22733.878271173784,22738.10811985242,4.22984867863488,0.21768881788569794,0.21745826404091867,-0.023055384477926877,0.14027105471340273,0.10248177524271,0.8525567657933684,0.8528878799457256,19381.921732812054,19393.056828317618,11.135095505564095,3188.9050828236554,2330.241685783155,-858.6633970405005,1249.0408931107377,1248.7504593658878,-0.29043374484990636,18201.068032732728,18208.68849281447,0.04186820283311743,27.144384738878937,27.144384738878937,11.135095505564095,-16.009289233314842
Base,BaseThrottle,2026,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.01072125,0.009973011710256344,0.005321962760620646,0.012418660446981845,0.01210671186349388,23016.202586066513,23025.386051997648,9.183465931135288,0.21278566336816948,0.21224392544267848,-0.054173792549100375,0.13870473949505013,0.10196116439698957,0.854123081011721,0.8548191810405595,19658.66986600107,19682.541648111353,23.871782110283675,3192.456383865655,2347.695172551883,-844.761211313772,1264.1626713093506,1263.5324529955428,-0.6302183138077453,18206.677912920488,18223.027036155494,0.08979739913674845,31.059962237462223,58.20434697634116,35.00687761584777,-23.197469360493386
Base,BaseThrottle,2027,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0172585894697656,0.0160541088851094,0.006081097174853056,0.012418660446981845,0.01210671186349388,23302.032990761814,23317.001531374168,14.968540612353536,0.20790687167625835,0.2069535395529276,-0.09533321233307357,0.13877045234883123,0.10136629267662843,0.8540573681579399,0.8551710767707938,19901.272968819525,19940.025306651496,38.75233783197109,3233.633658775406,2363.5580015706673,-870.0756572047385,1279.4675245194774,1278.4409010650402,-1.0266234544371855,18212.289522169176,18238.62292887321,0.14459141269405063,35.49041154719539,93.69475852353655,73.75921544781886,-19.93554307571769
Base,BaseThrottle,2028,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0247164061063087,0.022991442931903285,0.006937334046793883,0.012418660446981845,0.01210671186349388,23591.41302619845,23613.11903076689,21.70600456844113,0.20305519671393574,0.20157230189635247,-0.14828948175832635,0.13876769544581358,0.10068766121910104,0.8540601250609575,0.8556501911393743,20148.48515951975,20204.56981207249,56.08465255273768,3273.7260179559057,2377.549729296164,-896.1762886597417,1294.9576691775328,1293.4698772359598,-1.4877919415730503,18217.902861011724,18255.638918492798,0.20713721973912858,40.48756881886776,134.1823273424043,129.84386800055654,-4.338459341847766
Base,BaseThrottle,2029,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0332086498821017,0.03089101123059374,0.007899568298690372,0.012418660446981845,0.01210671186349388,23884.386774035316,23913.917529378803,29.530755343486817,0.19823335443437384,0.1960941433117895,-0.21392111225843335,0.13876781110833336,0.0999149010330963,0.8540600093984377,0.8561924708974795,20398.699592708523,20474.916138317385,76.21654560886236,3314.3840722977084,2389.35670326151,-925.0273690361983,1310.6353485536865,1308.6125685352588,-2.0227800184277385,18223.517929981237,18274.253285023737,0.2784059325835697,46.10334646929489,180.2856738116992,206.0604136094189,25.77473979771969
Base,BaseThrottle,2030,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0428584819509576,0.03986737949219637,0.00897636826160262,0.012418660446981845,0.01210671186349388,24180.99886336644,24219.590948821733,38.59208545529327,0.1934440186357266,0.19053078970120702,-0.29132289345195905,0.13876780625585272,0.09903680494667688,0.8540600142509184,0.856808759401625,20652.024233848184,20751.557674074775,99.53344022659076,3355.544165344629,2398.6309046867586,-956.9132606578705,1326.502833076736,1323.8612571769659,-2.6415758997700323,18229.13472961095,18294.65951777166,0.3594508962308174,52.3877508685196,232.67342468021883,305.59385383600966,72.92042915579083
Base,BaseThrottle,2031,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0537974344125754,0.05004290016354083,0.010175520671344366,0.012418660446981845,0.01210671186349388,24481.294477519445,24530.34815592328,49.053678403834056,0.18868981678173863,0.1849200989836065,-0.37697177981321217,0.13876780645943265,0.0980414040653418,0.8540600140473384,0.8575073121598901,20908.494705367288,21034.952913532088,126.45820816480045,3397.2155339327956,2404.989775418386,-992.2257585144093,1342.5624206629043,1339.2073340109762,-3.3550866519281044,18234.75326043429,18317.065276557263,0.45140186405250304,59.38622685169198,292.0596515319108,432.0520620008101,139.99241046889932
Base,BaseThrottle,2032,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0661639378099925,0.06154634269098544,0.011503442527444617,0.012418660446981845,0.01210671186349388,24785.319360938327,24846.412361461356,61.09300052302933,0.1839733258578817,0.1793269209507225,-0.4646404907159202,0.1387678064508917,0.09691610176386331,0.8540600140558794,0.8582969500848371,21168.150201782446,21325.599950392476,157.44974861002993,3439.4043999022288,2408.0174288903,-1031.3869710119288,1358.8164370486252,1354.641355264338,-4.175081784287158,18240.37352298483,18341.690414886936,0.5554540414122178,67.13622521882887,359.19587675073967,589.50181061084,230.30593386010037
Base,BaseThrottle,2033,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0801010587924628,0.07451078907227827,0.012964446381292731,0.012418660446981845,0.01210671186349388,25093.11982615183,25168.019714043607,74.89988789177733,0.17929706827420552,0.1738299306729698,-0.5467137601235711,0.13876780645124998,0.09564787954990801,0.8540600140555211,0.8591867773842464,21431.030271420106,21624.02975125231,192.9994798322041,3482.1171952934606,2407.267718118553,-1074.8494771749074,1375.267236127352,1370.153156048581,-5.1140800787709395,18245.995517796346,18368.763815153547,0.6728506385823563,75.66291482009494,434.8587915708346,782.5012904430441,347.6424988722095
Base,BaseThrottle,2034,B,Добыча полезных ископаемых,hardware,low,0.232634033576202,5,exact_old_nace,0.3,0.0,0.1808589085820895,0.73,0.9302097899271394,0.0957532853744189,0.08907064347297164,0.014559854400693278,0.012418660446981845,0.01210671186349388,25404.742760828234,25495.416864326013,90.67410349777856,0.17466350782655757,0.16849677494440826,-0.6166732882149306,0.138767806451235,0.0942235895926015,0.8540600140555361,0.860185980507416,21697.174959390242,21930.800153885582,233.6251944953401,3525.3604263780257,2402.2696951165453,-1123.0907312614804,1391.9172002904495,1385.73203539435,-6.1851648960994225,18251.619245402715,18398.518770673116,0.8048574939859332,84.97401207214473,519.8328036429793,1016.1264849383842,496.2936812954049
