metric,year,p10,p50,p90,mean,base,n_draws
aggregate_employment_delta_thousand,2025,-40.741916899329226,-23.89688114337332,-10.09887694648496,-24.75797270228808,-23.292033279081807,5000
aggregate_employment_delta_thousand,2026,-94.37014836314628,-55.27378121944639,-22.91441091916931,-57.211939373954515,-53.73907667261665,5000
aggregate_employment_delta_thousand,2027,-164.71344373072716,-95.80856045004111,-38.793612079204465,-99.25092435043472,-93.07176163112308,5000
aggregate_employment_delta_thousand,2028,-254.53625266259476,-147.21941248031726,-58.1057423968894,-152.553517304103,-142.9573002353427,5000
aggregate_employment_delta_thousand,2029,-364.48380769499346,-210.68396204820237,-81.35100724058712,-217.90393511044587,-204.5695481060684,5000
aggregate_employment_delta_thousand,2030,-490.60144290617757,-284.48501032225613,-109.48167199933224,-294.38473700876443,-277.99027308529185,5000
aggregate_employment_delta_thousand,2031,-628.5252033923047,-368.5109012948742,-141.7794961990941,-379.09317447934757,-361.6516616105873,5000
aggregate_employment_delta_thousand,2032,-773.3831518683859,-458.4104872480384,-178.23721871164162,-468.0267724069406,-452.24280648565764,5000
aggregate_employment_delta_thousand,2033,-912.7285643428098,-550.2854422631463,-218.91450716040245,-557.6590941518806,-545.471826243891,5000
aggregate_employment_delta_thousand,2034,-1047.354011570209,-637.788972944385,-261.9607535909992,-645.8865586076184,-637.5275640410327,5000
aggregate_employment_delta_thousand,2035,-1169.8120232161687,-723.0301227540622,-308.3246137529064,-731.9279174559528,-726.34167678003,5000
aggregate_profit_pool_ai_bn_rub,2025,59260.99559483784,59303.30473614189,59359.00289665199,59307.21553302409,59294.607589045365,5000
aggregate_profit_pool_ai_bn_rub,2026,61563.47768076169,61669.5434070779,61805.601492156115,61678.08337115805,61646.05847278691,5000
aggregate_profit_pool_ai_bn_rub,2027,63945.958036783915,64142.7422768875,64397.69920479338,64159.360269184624,64097.31638547128,5000
aggregate_profit_pool_ai_bn_rub,2028,66559.89775345626,66888.2344347495,67308.97451423334,66915.3542142786,66809.65664647537,5000
aggregate_profit_pool_ai_bn_rub,2029,69436.01857404255,69940.68177390547,70589.1766688329,69983.52902183271,69822.18127766851,5000
aggregate_profit_pool_ai_bn_rub,2030,72605.4622623194,73336.0578653288,74233.86147363746,73386.94207790507,73170.7340685035,5000
aggregate_profit_pool_ai_bn_rub,2031,76080.53264949005,77061.4952627088,78201.80276499924,77112.58630833832,76867.87594799421,5000
aggregate_profit_pool_ai_bn_rub,2032,79848.83341031888,81072.3551903773,82402.26682142101,81113.3260646481,80890.36585062652,5000
aggregate_profit_pool_ai_bn_rub,2033,83884.50214695086,85280.74612432375,86792.36922418936,85332.0450397506,85179.80539310112,5000
aggregate_profit_pool_ai_bn_rub,2034,88122.49400016665,89678.56989133771,91343.96983208375,89727.01570322776,89664.38205349323,5000
aggregate_profit_pool_ai_bn_rub,2035,92542.03847193245,94234.09359533605,96042.96969490827,94281.12773108606,94291.3963837639,5000
aggregate_profit_pool_gain_pct,2025,0.2770563154943706,0.34864870274031734,0.44289699408403665,0.35526626282784884,0.333932036230955,5000
aggregate_profit_pool_gain_pct,2026,0.6470831192272808,0.8204847263945214,1.0429193566946604,0.8344462910590094,0.7820903695017867,5000
aggregate_profit_pool_gain_pct,2027,1.1503895660943764,1.4616649485899247,1.864958501020875,1.4879514637390765,1.3898097953604749,5000
aggregate_profit_pool_gain_pct,2028,1.8137834853611357,2.3160258401092593,2.959613658030116,2.357509788467721,2.195828811686318,5000
aggregate_profit_pool_gain_pct,2029,2.6632540537720506,3.4094138619394587,4.3682331824843805,3.4727648142232312,3.2342072933528643,5000
aggregate_profit_pool_gain_pct,2030,3.7119068952157552,4.755512442186949,6.037963119226713,4.828197038534266,4.5193587742719865,5000
aggregate_profit_pool_gain_pct,2031,4.942752749943313,6.295857327302534,7.8687565185199215,6.36633047966514,6.028785802378844,5000
