country_iso3,sector_id,sector_name_ru,ai_intensity,is_proxy_mn,staffing_proxy_exact,labour_share_start,benchmark_core_ready_start,labour_share_end,benchmark_core_ready_end,n_years_with_labour_share,first_available_year,last_available_year,delta_tc_long,delta_tc_annualized,task_shift_direction,is_full_window,benchmark_core_pair,window
AUT,B,Добыча полезных ископаемых,low,False,True,0.492308959960938,True,0.285347843170166,True,11,1995,2005,-0.206961116790772,-0.0206961116790772,task_displacing,True,True,1995-2005
BEL,B,Добыча полезных ископаемых,low,False,True,0.471775360107422,True,0.47992618560791,True,11,1995,2005,0.008150825500488013,0.0008150825500488013,task_creating,True,True,1995-2005
BGR,B,Добыча полезных ископаемых,low,False,True,0.334975395202637,False,0.383789329528809,False,11,1995,2005,0.04881393432617198,0.0048813934326171985,task_creating,True,False,1995-2005
CYP,B,Добыча полезных ископаемых,low,False,True,0.6410342407226559,False,0.394999885559082,False,11,1995,2005,-0.24603435516357391,-0.02460343551635739,task_displacing,True,False,1995-2005
CZE,B,Добыча полезных ископаемых,low,False,True,0.521624526977539,True,0.505947990417481,True,11,1995,2005,-0.015676536560058074,-0.0015676536560058074,task_displacing,True,True,1995-2005
DEU,B,Добыча полезных ископаемых,low,False,True,0.8375502777099609,True,0.77337272644043,True,11,1995,2005,-0.06417755126953095,-0.006417755126953095,task_displacing,True,True,1995-2005
DNK,B,Добыча полезных ископаемых,low,False,True,0.180103073120117,False,0.0361450743675232,False,11,1995,2005,-0.1439579987525938,-0.01439579987525938,task_displacing,True,False,1995-2005
ESP,B,Добыча полезных ископаемых,low,False,True,0.542997169494629,True,0.524182319641113,True,11,1995,2005,-0.018814849853516002,-0.0018814849853516003,task_displacing,True,True,1995-2005
EST,B,Добыча полезных ископаемых,low,False,True,0.738660888671875,False,0.535452194213867,False,11,1995,2005,-0.20320869445800793,-0.020320869445800794,task_displacing,True,False,1995-2005
FIN,B,Добыча полезных ископаемых,low,False,True,0.545303573608399,False,0.583701324462891,False,11,1995,2005,0.03839775085449204,0.0038397750854492043,task_creating,True,False,1995-2005
FRA,B,Добыча полезных ископаемых,low,False,True,0.501406288146973,True,0.4763541412353519,True,11,1995,2005,-0.025052146911621054,-0.0025052146911621054,task_displacing,True,True,1995-2005
GBR,B,Добыча полезных ископаемых,low,False,True,0.1454312950476633,True,0.1338940412270491,True,11,1995,2005,-0.011537253820614213,-0.0011537253820614213,task_displacing,True,True,1995-2005
GRC,B,Добыча полезных ископаемых,low,False,True,0.7425331115722661,True,0.6501615905761721,True,11,1995,2005,-0.09237152099609403,-0.009237152099609403,task_displacing,True,True,1995-2005
HRV,B,Добыча полезных ископаемых,low,False,True,0.56973258972168,False,0.5002458953857419,False,11,1995,2005,-0.06948669433593802,-0.006948669433593802,task_displacing,True,False,1995-2005
HUN,B,Добыча полезных ископаемых,low,False,True,0.746867370605469,True,0.501620903015137,True,11,1995,2005,-0.24524646759033208,-0.02452464675903321,task_displacing,True,True,1995-2005
IRL,B,Добыча полезных ископаемых,low,False,True,0.633345184326172,False,0.573612480163574,False,11,1995,2005,-0.059732704162598016,-0.005973270416259802,task_displacing,True,False,1995-2005
ITA,B,Добыча полезных ископаемых,low,False,True,0.176735515594482,True,0.223514785766602,True,11,1995,2005,0.04677927017212,0.004677927017211999,task_creating,True,True,1995-2005
JPN,B,Добыча полезных ископаемых,low,False,True,0.5122005479432734,False,0.6819871134353047,False,11,1995,2005,0.1697865654920313,0.01697865654920313,task_creating,True,False,1995-2005
LTU,B,Добыча полезных ископаемых,low,False,True,0.304347820281982,False,0.298934020996094,False,11,1995,2005,-0.005413799285887977,-0.0005413799285887977,task_displacing,True,False,1995-2005
LUX,B,Добыча полезных ископаемых,low,False,True,0.521507034301758,False,0.499136657714844,False,11,1995,2005,-0.022370376586914043,-0.0022370376586914043,task_displacing,True,False,1995-2005
LVA,B,Добыча полезных ископаемых,low,False,True,0.685922470092774,False,0.480938415527344,False,11,1995,2005,-0.20498405456542995,-0.020498405456542995,task_displacing,True,False,1995-2005
NLD,B,Добыча полезных ископаемых,low,False,True,0.108134822845459,True,0.0598880243301392,True,11,1995,2005,-0.0482467985153198,-0.0048246798515319805,task_displacing,True,True,1995-2005
POL,B,Добыча полезных ископаемых,low,False,True,0.846069641113281,False,0.584845123291016,False,11,1995,2005,-0.26122451782226497,-0.026122451782226497,task_displacing,True,False,1995-2005
PRT,B,Добыча полезных ископаемых,low,False,True,0.328927268981934,False,0.415000190734863,False,11,1995,2005,0.08607292175292902,0.008607292175292902,task_creating,True,False,1995-2005
ROU,B,Добыча полезных ископаемых,low,False,True,0.637490768432617,False,0.842799606323242,False,11,1995,2005,0.20530883789062504,0.020530883789062503,task_creating,True,False,1995-2005
SVK,B,Добыча полезных ископаемых,low,False,True,0.538872108459473,False,0.393372840881348,False,11,1995,2005,-0.14549926757812498,-0.014549926757812498,task_displacing,True,False,1995-2005
SVN,B,Добыча полезных ископаемых,low,False,True,0.942458953857422,False,0.781363983154297,True,11,1995,2005,-0.16109497070312495,-0.016109497070312496,task_displacing,True,False,1995-2005
SWE,B,Добыча полезных ископаемых,low,False,True,0.49806884765625,False,0.276647567749023,False,11,1995,2005,-0.221421279907227,-0.0221421279907227,task_displacing,True,False,1995-2005
AUT,C,Обрабатывающая промышленность,low_medium,False,True,0.6547262573242191,True,0.563804931640625,True,11,1995,2005,-0.09092132568359412,-0.009092132568359413,task_displacing,True,True,1995-2005
BEL,C,Обрабатывающая промышленность,low_medium,False,True,0.685810852050781,True,0.622991142272949,True,11,1995,2005,-0.06281970977783191,-0.006281970977783191,task_displacing,True,True,1995-2005
BGR,C,Обрабатывающая промышленность,low_medium,False,True,0.699264297485352,False,0.540557060241699,False,11,1995,2005,-0.158707237243653,-0.0158707237243653,task_displacing,True,False,1995-2005
CYP,C,Обрабатывающая промышленность,low_medium,False,True,0.495741882324219,False,0.733537673950195,False,11,1995,2005,0.23779579162597597,0.023779579162597597,task_creating,True,False,1995-2005
CZE,C,Обрабатывающая промышленность,low_medium,False,True,0.537354698181152,True,0.563669738769531,True,11,1995,2005,0.02631504058837897,0.002631504058837897,task_creating,True,True,1995-2005
DEU,C,Обрабатывающая промышленность,low_medium,False,True,0.7515732574462891,True,0.698311233520508,True,11,1995,2005,-0.053262023925781166,-0.005326202392578116,task_displacing,True,True,1995-2005
DNK,C,Обрабатывающая промышленность,low_medium,False,True,0.665803451538086,True,0.660946807861328,True,11,1995,2005,-0.004856643676757977,-0.0004856643676757977,task_displacing,True,True,1995-2005
ESP,C,Обрабатывающая промышленность,low_medium,False,True,0.684782485961914,True,0.631915817260742,True,11,1995,2005,-0.05286666870117207,-0.005286666870117207,task_displacing,True,True,1995-2005
EST,C,Обрабатывающая промышленность,low_medium,False,True,0.65968147277832,False,0.62602970123291,True,11,1995,2005,-0.03365177154540999,-0.0033651771545409994,task_displacing,True,False,1995-2005
FIN,C,Обрабатывающая промышленность,low_medium,False,True,0.547333602905274,True,0.507994079589844,True,11,1995,2005,-0.03933952331543,-0.003933952331543001,task_displacing,True,True,1995-2005
FRA,C,Обрабатывающая промышленность,low_medium,False,True,0.667966232299805,True,0.6491957855224609,True,11,1995,2005,-0.018770446777344074,-0.0018770446777344075,task_displacing,True,True,1995-2005
