record_type,scenario,throttle_scenario,occupation_digit,occupation_name_isco08,quintile,ai_exposure_score,baseline_employment_thousand,employment_delta_2035_thousand,baseline_labour_income_bn_rub,labour_income_delta_2035_bn_rub,profit_gain_allocated_bn_rub,total_income_delta_bn_rub,gini_baseline_proxy,gini_post_proxy,gini_delta_proxy
occupation,Base,BaseThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-48.01320796245002,3178.0043321481617,-347.89513982764726,0.0,-347.89513982764726,,,
occupation,Base,BaseThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-401.10113678031917,18796.989848351026,-1622.4511995036232,0.0,-1622.4511995036232,,,
occupation,Base,BaseThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-110.2788803820866,5648.68995965144,-705.9824686690613,0.0,-705.9824686690613,,,
occupation,Base,BaseThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-37.02866574432323,1474.9121057441764,-212.03557709512802,0.0,-212.03557709512802,,,
occupation,Base,BaseThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-12.867767646293947,636.6534585903457,-85.12803033457624,0.0,-85.12803033457624,,,
occupation,Base,BaseThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.7390746623634349,40.18139984251213,-4.791809696185473,0.0,-4.791809696185473,,,
occupation,Base,BaseThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-76.96714462951013,6061.847310147665,-600.8483459937005,0.0,-600.8483459937005,,,
occupation,Base,BaseThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-37.08957441249872,5166.009013777703,-804.6428484452861,0.0,-804.6428484452861,,,
occupation,Base,BaseThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-2.256224560180865,994.3541501882039,-108.09609913435435,0.0,-108.09609913435435,,,
occupation,Base,NoThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-53.955396886223824,3178.0043321481617,-360.03873006206294,0.0,-360.03873006206294,,,
occupation,Base,NoThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-452.6790849459761,18796.989848351026,-1671.3312301508922,0.0,-1671.3312301508922,,,
occupation,Base,NoThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-123.61211575769548,5648.68995965144,-731.1765612740501,0.0,-731.1765612740501,,,
occupation,Base,NoThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-41.85338110119539,1474.9121057441764,-222.17805625715258,0.0,-222.17805625715258,,,
occupation,Base,NoThrottle,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-14.529024376467119,636.6534585903457,-88.21318907525657,0.0,-88.21318907525657,,,
occupation,Base,NoThrottle,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.8419776985849993,40.18139984251213,-4.947214551377829,0.0,-4.947214551377829,,,
occupation,Base,NoThrottle,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-86.84568331427053,6061.847310147665,-617.0516793196895,0.0,-617.0516793196895,,,
occupation,Base,NoThrottle,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-41.22533472219194,5166.009013777703,-825.2992618194319,0.0,-825.2992618194319,,,
occupation,Base,NoThrottle,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-2.5288951457186024,994.3541501882039,-111.28894657832036,0.0,-111.28894657832036,,,
occupation,Base,SanctionBase,1.0,Managers,,0.8163266095070527,1519.594612075267,-43.02602399423729,3178.0043321481617,-333.7034144915228,0.0,-333.7034144915228,,,
occupation,Base,SanctionBase,2.0,Professionals,,0.8060153253325375,8696.048042062022,-362.027422956764,18796.989848351026,-1561.6888132058739,0.0,-1561.6888132058739,,,
occupation,Base,SanctionBase,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-98.81093840518784,5648.68995965144,-676.1293770345401,0.0,-676.1293770345401,,,
occupation,Base,SanctionBase,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-32.77501338552838,1474.9121057441764,-199.7640350779112,0.0,-199.7640350779112,,,
occupation,Base,SanctionBase,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-11.44577226839757,636.6534585903457,-81.49169978298913,0.0,-81.49169978298913,,,
occupation,Base,SanctionBase,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.6532434220748874,40.18139984251213,-4.661245262555243,0.0,-4.661245262555243,,,
occupation,Base,SanctionBase,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-68.56787997824607,6061.847310147665,-584.7675394461703,0.0,-584.7675394461703,,,
occupation,Base,SanctionBase,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-33.159875444439656,5166.009013777703,-779.7448681811992,0.0,-779.7448681811992,,,
occupation,Base,SanctionBase,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-2.012994797854893,994.3541501882039,-104.72188291113274,0.0,-104.72188291113274,,,
occupation,Base,SanctionRelief,1.0,Managers,,0.8163266095070527,1519.594612075267,-44.30241917322279,3178.0043321481617,-336.9747241721856,0.0,-336.9747241721856,,,
occupation,Base,SanctionRelief,2.0,Professionals,,0.8060153253325375,8696.048042062022,-372.738403730077,18796.989848351026,-1575.686361892844,0.0,-1575.686361892844,,,
occupation,Base,SanctionRelief,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-101.72526997668997,5648.68995965144,-683.1312604944296,0.0,-683.1312604944296,,,
occupation,Base,SanctionRelief,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-33.85949583802063,1474.9121057441764,-202.65390909264192,0.0,-202.65390909264192,,,
occupation,Base,SanctionRelief,5.0,Services and sales workers,,0.6243578381469675,799.7117565961831,-11.795508843479794,636.6534585903457,-82.2957566563309,0.0,-82.2957566563309,,,
occupation,Base,SanctionRelief,6.0,Skilled agricultural workers,,0.5187886130307342,70.59692015010009,-0.6739038088795716,40.18139984251213,-4.692004431593137,0.0,-4.692004431593137,,,
occupation,Base,SanctionRelief,7.0,Craft and related trades workers,,0.5598526735912037,7773.117146011304,-70.59239478693706,6061.847310147665,-588.3421647472965,0.0,-588.3421647472965,,,
occupation,Base,SanctionRelief,8.0,"Plant and machine operators, assemblers",,0.49616419695167346,6701.619213011578,-34.01206956580303,5166.009013777703,-784.6601049029827,0.0,-784.6601049029827,,,
occupation,Base,SanctionRelief,9.0,Elementary occupations,,0.3705807656935362,1996.1774895194403,-2.0702027915822496,994.3541501882039,-105.45215513718944,0.0,-105.45215513718944,,,
occupation,Base,StressThrottle,1.0,Managers,,0.8163266095070527,1519.594612075267,-44.03008919847268,3178.0043321481617,-340.1079328369585,0.0,-340.1079328369585,,,
occupation,Base,StressThrottle,2.0,Professionals,,0.8060153253325375,8696.048042062022,-366.45943706293986,18796.989848351026,-1592.6172989730758,0.0,-1592.6172989730758,,,
occupation,Base,StressThrottle,3.0,Technicians and associate professionals,,0.7419290879474001,3975.5671102297792,-101.34290841267313,5648.68995965144,-689.7952111629772,0.0,-689.7952111629772,,,
occupation,Base,StressThrottle,4.0,Clerical support workers,,0.7458447389249923,1341.067710344324,-33.79143699616232,1474.9121057441764,-205.52168661283045,0.0,-205.52168661283045,,,
