Country,NACE_Nr,NACE_R2,VARNr,VAR,year,sh
AT,0,0_TOTAL,1,Labour income,1995,71.3440246582031
AT,0,0_TOTAL,1,Labour income,1996,71.0752105712891
AT,0,0_TOTAL,1,Labour income,1997,70.2552185058594
AT,0,0_TOTAL,1,Labour income,1998,69.9454345703125
AT,0,0_TOTAL,1,Labour income,1999,69.9400100708008
AT,0,0_TOTAL,1,Labour income,2000,69.0371551513672
AT,0,0_TOTAL,1,Labour income,2001,68.0361709594727
AT,0,0_TOTAL,1,Labour income,2002,67.8478622436523
AT,0,0_TOTAL,1,Labour income,2003,67.6852645874024
AT,0,0_TOTAL,1,Labour income,2004,66.5978775024414
AT,0,0_TOTAL,1,Labour income,2005,65.2920379638672
AT,0,0_TOTAL,1,Labour income,2006,64.6597518920899
AT,0,0_TOTAL,1,Labour income,2007,63.6046409606934
AT,0,0_TOTAL,1,Labour income,2008,64.4403762817383
AT,0,0_TOTAL,1,Labour income,2009,66.2645874023438
AT,0,0_TOTAL,1,Labour income,2010,65.4252395629883
AT,0,0_TOTAL,1,Labour income,2011,64.950325012207
AT,0,0_TOTAL,1,Labour income,2012,65.3662109375
AT,0,0_TOTAL,1,Labour income,2013,65.8590621948242
AT,0,0_TOTAL,1,Labour income,2014,65.5941619873047
AT,0,0_TOTAL,1,Labour income,2015,65.1822052001953
AT,0,0_TOTAL,1,Labour income,2016,64.9629364013672
AT,0,0_TOTAL,1,Labour income,2017,65.0273971557617
AT,0,0_TOTAL,1,Labour income,2018,65.2456436157227
AT,0,0_TOTAL,1,Labour income,2019,65.5415496826172
AT,0,0_TOTAL,1,Labour income,2020,68.1575546264649
AT,0,0_TOTAL,1,Labour income,2021,66.7623748779297
AT,0,0_TOTAL,1,Labour income,2022,64.8212356567383
AT,0,0_TOTAL,1,Labour income,2023,65.8391723632813
AT,1,A,1,Labour income,1995,66.6669998168945
AT,1,A,1,Labour income,1996,66.6669998168945
AT,1,A,1,Labour income,1997,66.6669998168945
AT,1,A,1,Labour income,1998,66.6669998168945
AT,1,A,1,Labour income,1999,66.6669998168945
AT,1,A,1,Labour income,2000,66.6669998168945
AT,1,A,1,Labour income,2001,66.6669998168945
AT,1,A,1,Labour income,2002,66.6669998168945
AT,1,A,1,Labour income,2003,66.6669998168945
AT,1,A,1,Labour income,2004,66.6669998168945
AT,1,A,1,Labour income,2005,66.6669998168945
AT,1,A,1,Labour income,2006,66.6669998168945
AT,1,A,1,Labour income,2007,66.6669998168945
AT,1,A,1,Labour income,2008,66.6669998168945
AT,1,A,1,Labour income,2009,66.6669998168945
AT,1,A,1,Labour income,2010,66.6669998168945
AT,1,A,1,Labour income,2011,66.6669998168945
AT,1,A,1,Labour income,2012,66.6669998168945
AT,1,A,1,Labour income,2013,66.6669998168945
AT,1,A,1,Labour income,2014,66.6669998168945
AT,1,A,1,Labour income,2015,66.6669998168945
AT,1,A,1,Labour income,2016,66.6669998168945
AT,1,A,1,Labour income,2017,66.6669998168945
AT,1,A,1,Labour income,2018,66.6669998168945
AT,1,A,1,Labour income,2019,66.6669998168945
AT,1,A,1,Labour income,2020,66.6669998168945
AT,1,A,1,Labour income,2021,66.6669998168945
AT,1,A,1,Labour income,2022,66.6669998168945
AT,1,A,1,Labour income,2023,66.6669998168945
AT,2,B,1,Labour income,1995,49.2308959960938
AT,2,B,1,Labour income,1996,42.8038558959961
AT,2,B,1,Labour income,1997,40.8241348266602
AT,2,B,1,Labour income,1998,41.6963806152344
AT,2,B,1,Labour income,1999,39.3102340698242
AT,2,B,1,Labour income,2000,39.1288452148438
